127.0.0.1, 2015-03-25 10:09:12, GET, /, HTTP/1.1, 303, 0.002902
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.940516
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000289
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000364
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000869
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003338
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000390
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000417
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001151
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001949
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000692
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000376
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000228
127.0.0.1, 2015-03-25 10:09:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-03-25 10:14:34, GET, /, HTTP/1.1, 303, 0.000972
127.0.0.1, 2015-03-25 10:14:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.111445
127.0.0.1, 2015-03-25 10:14:34, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 303, 0.080068
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/default/index, HTTP/1.1, 200, 0.037223
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.000559
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000902
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000372
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000661
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.001345
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.001993
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.004527
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001535
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001932
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000938
127.0.0.1, 2015-03-25 10:15:11, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001410
